Titre,Auteur,Editeur,auteur_last_name,auteur_first_name
Poulette douillette,Clément Claude,Il était deux fois,Clément,Claude
Poulou et Sébastien,Escudié René,Bayard jeunesse,Escudié,René
Poupée de Ting-Ting (la),Roman Ghislaine,Seuil jeunesse,Roman,Ghislaine
Pou-poule,Loufane,Ecole des Loisirs,Loufane,
Pour dormir,Doray Malika,Autrement jeunesse,Doray,Malika
Pour être un grand méchant loup,Guettier Bénédicte,Casterman,Guettier,Bénédicte
Pour jouer avec la langue,Coran Pierre et Irène,Casterman,Coran,Pierre et Irène
Pour que le soir te prenne par la main,Da Silva Christian,Cheyne,Da,Silva Christian
Pour une mouche,Pierpont Nathalie de,Lirabelle,Pierpont,Nathalie de
Pourquoâaa,Voutch,Thierry Magnier,Voutch,
Pourquoi ?,Sanders Alex,Ecole des Loisirs,Sanders,Alex
Pourquoi ? Parce que je t'aime,Van Genechten Guido,Milan,Van,Genechten Guido
Pourquoi ça n'avance pas ?,Ohmura Tomoko,Ecole des loisirs,Ohmura,Tomoko
"Pourquoi écrire, illustrer pour la jeunesse ?",Collectif,Les Cahiers de la Charte,Collectif,
Pourquoi le rossignol chante la nuit,Laâbi Jocelyne,Marsam,Laâbi,Jocelyne
Pourquoi le tigre ne grimpe pas aux arbres,Zarcate Catherine,Seuil jeunesse,Zarcate,Catherine
Pourquoi l'éléphant a une trompe,Hobson Bruce,Gallimard jeunesse,Hobson,Bruce
Pourquoi les animaux ont-ils une queue ?,Proeng Pich,,Proeng,Pich
Pourquoi les libellules ont le corps si long,Sénégas Stéphane,Ecole des Loisirs,Sénégas,Stéphane
Pourquoi les zèbres sont-ils en pyjama ?,Lila Prap,Circonflexe,Lila,Prap
Pousse-Poussette,Gay Michel,Ecole des loisirs,Gay,Michel
Poussez pas,Perrin Martine,Milan jeunesse,Perrin,Martine
Poussin,Cali Davide,Sarbacane,Cali,Davide
Poussin et le chat (le),Gay-Para Praline,Didier jeunesse,Gay-Para,Praline
Pouvoir des contes (le),Jean Georges,Casterman,Jean,Georges
Prédateurs,Guilloppé Antoine,Thierry Magnier,Guilloppé,Antoine
"Premier arrivé, premier servi !",Ohmura Tomoko,Ecole des loisirs,Ohmura,Tomoko
Premier livre d'or des poètes (le),Jean Georges,Seghers,Jean,Georges
Premier printemps,Crausaz Anne,MeMo,Crausaz,Anne
Première année sur la terre,Serres Alain,Rue du Monde,Serres,Alain
Première fois que j'ai eu seize ans (la),Morgenstern Susie,Ecole des Loisirs,Morgenstern,Susie
Première fois que je suis née (la),Cuvellier Vincent,Gallimard jeunesse,Cuvellier,Vincent
Premiers poèmes pour toute ma vie,Malineau Jean Hugues,Milan,Malineau,Jean Hugues
"Premiers récits, premières conquêtes","Bonnafé, Cabrero, Delfourny",ACCES,Bonnafé,  Cabrero  Delfourny
Prendre et donner,Felix Lucie,Les Grandes Personnes,Felix,Lucie
"Près des yeux, près du cœur",Cathalo Georges,La renarde rouge,Cathalo,Georges
Président du monde (le),Zullo Germano,La joie de lire,Zullo,Germano
Pressé ? Pas si pressé !,Friot Bernard,Milan jeunesse,Friot,Bernard
"Pressé, pressée",Friot Bernard,Milan,Friot,Bernard
Preuve par l'eau de vaisselle (la),Moissard Boris,Ecole des Loisirs,Moissard,Boris
Prince au petit pois (le),Chausse Sylvie,Atelier du poissson soluble,Chausse,Sylvie
Prince bégayant (le),Place François,Gallimard jeunesse,Place,François
"Prince de naissance, attentif de nature",Benameur Jeanne,Thierry Magnier,Benameur,Jeanne
Prince Grenouille (le),Grimm Jakob et Wilhelm,Nord-Sud,Grimm,Jakob et Wilhelm
Prince tigre (le),Chen Jian Hong,Ecole des Loisirs,Chen,Jian Hong
Princesse au petit pois (la),Andersen Hans Christian,Nord-sud,Andersen,Hans Christian
Princesse au petit pois (la),Andersen Hans Christian,Tourbillon,Andersen,Hans Christian
Princesse caca,Nicolas Christophe,Les fourmis rouges,Nicolas,Christophe
Princesse charmante,Curatolo Justine,Rouergue,Curatolo,Justine
Princesse des Ménines (la),La Villefromoit Sophie de,Seuil jeunesse,La,Villefromoit Sophie de
Princesse Grenouille (la),Ramos Mario,Ecole des loisirs,Ramos,Mario
"Princesse, le dragon et le chevalier intrépide (la)",Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Princesses oubliées ou inconnues,Lechermeier Philippe,Gautier-Languereau,Lechermeier,Philippe
Problème quand on est un renard (le),Stehr Frédéric,Ecole des Loisirs,Stehr,Frédéric
Promenade au bord de l'eau,Brouillard Anne,Le Sorbier,Brouillard,Anne
Promenade de Petit Bonhomme (la),Félix Lucie,Les Grandes Personnes,Félix,Lucie
Promenade des canards (la),Garralon Claire,MeMo,Garralon,Claire
Promenade en forêt (Yok-Yok),Delessert Etienne,Gallimard jeunesse,Delessert,Etienne
Promesse de l'ogre (la),Rascal,Pastel,Rascal,
Promesses,Naumann-Villemin Christine,Ecole des Loisirs,Naumann-Villemin,Christine
Prout de pompier,Carlain Noé,Sarbacane,Carlain,Noé
Provision de bisous de Zou (la),Gay Michel,Ecole des loisirs,Gay,Michel
Psychanalyse des contes de fées,Bettelheim Bruno,Robert Laffont,Bettelheim,Bruno
P'tit Biscuit,Hudrisier Cécile,Didier jeunesse,Hudrisier,Cécile
P'tit bonhomme des bois (le),Delye Pierre,Didier Jeunesse,Delye,Pierre
P'tit bossu qui en avait plein l'dos (le),Bigot Gigi,Didier jeunesse,Bigot,Gigi
P'tit Quinquin (le),Mollet Charlotte,Didier jeunesse,Mollet,Charlotte
P'tites bêtes (les),Bessard Sylvie,Milan,Bessard,Sylvie
P'tits mecs (les),Olten Manuela,Seuil jeunesse,Olten,Manuela
Purée de cochons,Servant Stéphane,Didier jeunesse,Servant,Stéphane
Quand je ne savais pas écrire,Ubac Claire,Ecole des loisirs,Ubac,Claire
Quand je serai grand,Dek Maria,Hélium,Dek,Maria
"Quand je serai grand, je serai le Père Noël",Solotareff Grégoire,Ecole des Loisirs,Solotareff,Grégoire
Quand je serai grand…,Gréban Quentin,Mijade,Gréban,Quentin
Quand j'étais petit,Ramos Mario,Ecole des loisirs,Ramos,Mario
Quand le monde était jeune,Schubiger Jürg,La joie de lire,Schubiger,Jürg
Quand les grands se fâchent,Doray Malika,MeMo,Doray,Malika
Quand les livres relient,Collectif,ERES,Collectif,
Quand les poètes s'amusent,Malineau Jean Hugues,Albin Michel jeunesse,Malineau,Jean Hugues
Quand les poules auront des dents,Bouchard André,Seuil jeunesse,Bouchard,André
Quand Maman avait mon âge,Bonotaux Gilles,Autrement,Bonotaux,Gilles
Quand nous aurons mangé la planète,Serres Alain,Rue du monde,Serres,Alain
Quand Papa avait mon âge,Bonotaux Gilles,Autrement,Bonotaux,Gilles
Quand tu es content...,Cabrera Jane,Gautier-Languereau,Cabrera,Jane
Qu'apporte la littérature de jeunesse aux enfants ?,Ben Soussan Patrick,ERES,Ben,Soussan Patrick
Quatre coqs coquets,Malineau Jean Hugues,Albin Michel jeunesse,Malineau,Jean Hugues
Quatre histoires du Petit Chaperon rouge,Morel François,Syros,Morel,François
Quatre loups (les),Gaussel Alain,Mini Syros,Gaussel,Alain
Quatre petits coins de rien du tout,Ruillier Jérôme,Bilboquet,Ruillier,Jérôme
Quatrième fille du Dr Klein (la),Brami Elisabeth,Nathan,Brami,Elisabeth
Que fais-tu Fantine ?,Houdart Emmanuelle,Seuil jeunesse,Houdart,Emmanuelle
Que fait la lune la nuit,Herbauts Anne,Casterman,Herbauts,Anne
Que faites-vous avec ça ?,Jenkins Steve,Le Genevrier,Jenkins,Steve
"Que faites-vous, cher ami ?",Joslin Sesyle,Ecole des Loisirs,Joslin,Sesyle
Que vois-tu ?,Hoban Tana,Ecole des Loisirs,Hoban,Tana
Quel bazar !,Voltz Christian,Rouergue,Voltz,Christian
Quel cafouillage !,Rodari Gianni,Ecole des Loisirs,Rodari,Gianni
"Quel radis, dis donc !",Gay-Para Praline,Didier jeunesse,Gay-Para,Praline
Quelle est ma couleur ?,Guilloppé Antoine,La joie par les livres,Guilloppé,Antoine
Quelle fête !,Machado Ana Maria,Vents d'ailleurs,Machado,Ana Maria
"Quelle heure est-il, madame Persil ?",Léger-Cresson Nathalie,Didier jeunesse,Léger-Cresson,Nathalie
Quelle panique!,Montardre Hélène,Milan,Montardre,Hélène
Quelles couleurs !,Lejonc Régis,Thierry Magnier,Lejonc,Régis
Quelque chose de plus terrible encore,Santini Bertrand,Editions de la Balle,Santini,Bertrand
Questions de Célestine (les),Gabrielle Vincent,Casterman,Gabrielle,Vincent
Qui a croqué mon goûter ?,Teyssèdre Fabienne,Seuil Jeunesse,Teyssèdre,Fabienne
Qui a fouillé chez les Wisigoths ?,Aubrun Claudine,Syros,Aubrun,Claudine
Qui a mangé ?,Crausaz Anne,MeMo,Crausaz,Anne
Qui a mangé la petite bête ?,Dexet Hector,Almaterra,Dexet,Hector
Qui a piqué les contrôles de Français ?,Joly Fanny,Casterman,Joly,Fanny
Qui a tué Minou-Bonbon ?,Périgot Joseph,Syros Jeunesse,Périgot,Joseph
Qui a volé ma fusée ?,Teyssèdre Fabienne,Seuil Jeunesse,Teyssèdre,Fabienne
Qui a vu Mister Cat ?,Gratias Claire,Belin jeunesse,Gratias,Claire
"Qui de l'œuf, qui du poussin ?",Bloch Muriel,Didier jeunesse,Bloch,Muriel
Qui est-ce qui ?,Némo et Jadoul Emile,Casterman,Némo,et Jadoul Emile
"Qui es-tu, que fais-tu ?",Bresner Lisa,MeMo,Bresner,Lisa
Qui lit petit lit toute la vie,Causse Rolande,Albin Michel,Causse,Rolande
Qui ou quoi ?,Perrin Martine,Milan,Perrin,Martine
Qui peut manger tout ça ?,Kemmeter Philippe de,Thierry Magnier,Kemmeter,Philippe de
Qui quoi quoi qui,Tallec Olivier,Actes sud junior,Tallec,Olivier
Qui se cache là-dessous ?,Yonezu Yusuke,Minedition,Yonezu,Yusuke
Qui se cache sous les fleurs ?,Yonezu Yusuke,Minedition,Yonezu,Yusuke
Qui suis-je ?,Friot Bernard,Milan,Friot,Bernard
Qui veut le cœur d'Artie Show ?,Trédez Emmanuel,Nathan,Trédez,Emmanuel
Qui voilà ?,Perrin Clotilde,Rue du monde,Perrin,Clotilde
"Qui, que, quand, quoi la poésie",Malineau Jean Hugues,Milan,Malineau,Jean Hugues
Qu'y a-t-il dedans ?,Boudet Alain,Rue du monde,Boudet,Alain
"Rafara, un conte populaire africain",Collectif,Ecole des Loisirs,Collectif,
Ranelot et Bufolet,Lobel Arnold,Ecole des Loisirs,Lobel,Arnold
Raoul la Terreur,Cantais Claire,Atelier du poisson soluble,Cantais,Claire
Raoul Taffin chasseur de mammouth,Moncomble Gérard,Milan,Moncomble,Gérard
Rap des rats (le),Besnier Michel,MØtus,Besnier,Michel
"Raphaël, un enfant de France",Collectif,Tapori,Collectif,
Rat célibataire (le),Manfeï Obin,Syros,Manfeï,Obin
Rat célibataire (le),Obin Manfeï,Mini Syros,Obin,Manfeï
Ratoncita que buscaba un marido (la),Vidal Francine,Didier jeunesse,Vidal,Francine
Raymond Queneau,Queneau Raymond,Gallimard,Queneau,Raymond
Raymond rêve,Crausaz Anne,MeMo,Crausaz,Anne
Rébellion chez les crayons,Daywalt Drew,Ecole des loisirs,Daywalt,Drew
Récits fabuleux de la mythologie,Piquemal Michel,Albin Michel,Piquemal,Michel
Rédaction (la),Skarmeta Antonio,Syros,Skarmeta,Antonio
Réfrigogérateur (le),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Refuge (le),Alibeu Géraldine,Cambourakis,Alibeu,Géraldine
Regarde !,Dreyfuss Corinne,Seuil jeunesse,Dreyfuss,Corinne
Regarde dans la nuit,Hayashi Emiri,Nathan,Hayashi,Emiri
Regarde dans l'herbe,Denolle Christel,Nathan,Denolle,Christel
"Regarde, je vole !",Lucia Scuderi,La compagnie Créative,Lucia,Scuderi
Réglisse et Calisson,Steff,Gründ,Steff,
Reine des couleurs (la),Bauer Jutta,Autrement,Bauer,Jutta
Remarques,Quintane Nathalie,Cheyne,Quintane,Nathalie
Remue-ménage chez Madame K,Erlbruch Wolf,Milan,Erlbruch,Wolf
Renard et l'étoile (le),Bickford-Smith Coralie,Gallimard jeunesse,Bickford-Smith,Coralie
Rencontre (la),Ducatteau Florence,La joie de lire,Ducatteau,Florence
Rendez-moi mes poux !,Pef,Gallimard,Pef,
Rendez-vous n'importe où,Scotto Thomas,Thierry Magnier,Scotto,Thomas
Rendez-vous sous la lune,Norac Carl,Ecole des Loisirs,Norac,Carl
Rends-moi mon nez !,Battault Paule,Seuil jeunesse,Battault,Paule
René Char (le),Char René,Mango,Char,René
Rentrée de la petite sorcière (la),Scotto Thomas,Bayard,Scotto,Thomas
Répétou (le),Louchard Antonin,Seuil jeunesse,Louchard,Antonin
Réponds correctement !,Janikovszky Eva,La joie de lire,Janikovszky,Eva
Retour d'Archibald (le),Ben Kemoun Hubert,Nathan,Ben,Kemoun Hubert
Retour de Chapeau Rond Rouge (le),Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Retour de Papy Frioul (le),Luciani Jean-Luc,Rouge safran,Luciani,Jean-Luc
Revanche de Lili Prune (la),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Rêve de Léon (le),Lestrade Agnès de,Tourbillon,Lestrade,Agnès de
Rêve de l'ours (le),Norac Carl,Ecole des Loisirs,Norac,Carl
Rêve de lune,Brami Elizabeth,Seuil,Brami,Elizabeth
Rêve d'Oscar (le),Letuffe Anne,Présence production,Letuffe,Anne
Réveillés les premiers !,Sakaï Komako,Ecole des loisirs,Sakaï,Komako
Reviens !,Douzou Olivier,Rouergue,Douzou,Olivier
Rien faire,Bonniol Magali,Ecole des Loisirs,Bonniol,Magali
Rimbaud : Choix de poèmes,Rimbaud Arthur,Gallimard Jeunesse,Rimbaud,Arthur
Riquet à la loupe,Kerloc'h Jean-Pierre,L'élan vert,Kerloc'h,Jean-Pierre
Rire des baleines (le),Corenblit Rachel,Rouergue,Corenblit,Rachel
Rire en poésie (Le),Collectif,Gallimard,Collectif,
Robe rouge de Nonna (la),Piquemal Michel,Albin Michel jeunesse,Piquemal,Michel
"Robert Desnos, un poète",Desnos Robert,Gallimard,Desnos,Robert
Robots n'aiment pas l'eau (les),Ug Philippe,Les Grandes Personnes,Ug,Philippe
Rock star,Dedieu Thierry,Seuil,Dedieu,Thierry
Rodéo à Ascou,Bayar Michèle,Magnard,Bayar,Michèle
Roi Cheval (le),Brisou Pellen Evelyne,Millefeuilles,Brisou,Pellen Evelyne
Roi de la Grande Savane (le),Voutch,Circonflexe,Voutch,
Roi des sables (le),Dedieu Thierry,Seuil jeunesse,Dedieu,Thierry
Roi des trois Orients (Le),Place François,Rue du Monde,Place,François
Roi du silence (le),Agopian Annie,Rouergue,Agopian,Annie
Roi est occupé (le),Ramos Mario,Ecole des Loisirs,Ramos,Mario
"Roi, la poule et la terrible Mademoiselle Chardon (le)",Valckx Catherine,Ecole des loisirs,Valckx,Catherine
Roi-grenouille ou Henri-le-Ferré (le),Grimm Jakob et Wilhelm,Le Genevrier,Grimm,Jakob et Wilhelm
Roméo et Juliette,"Coran Pierre, d'après Shakespeare",Flammarion,Coran,Pierre  d'après Shakespeare
Roméo et Juliette,Ramos Mario,Ecole des loisirs,Ramos,Mario
Rond rouge,Garralon Claire,Actes sud,Garralon,Claire
Rondeaux,Roubaud Jacques,Gallimard,Roubaud,Jacques
Ronds ronds,Jalibert Maria,Points de suspension,Jalibert,Maria
Rose bonbon,Turin Adela,Actes sud junior,Turin,Adela
Rose cochon,Sabbagh Clémence,A pas de loups,Sabbagh,Clémence
Rosie Pink,Lévy Didier,Sarbacane,Lévy,Didier
Rouge !,Brière Haquet Alice,MØtus,Brière,Haquet Alice
Rouge da ns la ville,Voigt Marie,Ecole des loisirs,Voigt,Marie
Rouge jaune noire blanche,Minne Brigitte,Ecole des loisirs,Minne,Brigitte
Rouge Matou,Battut Eric,Milan Jeunesse,Battut,Eric
Rouge-Gorge,Delye Pierre,Didier jeunesse,Delye,Pierre
Rouges et les noirs (les),Ben Kemoun Hubert,Flammarion,Ben,Kemoun Hubert
Roulé le loup !,Gay-Para Praline,Didier Jeunesse,Gay-Para,Praline
Roule ma poule,Brami Elisabeth,Thierry Magnier,Brami,Elisabeth
Roule ma poule,Manceau Edouard,Milan,Manceau,Edouard
"Roulis, rouleaux",Pourquié Bernadette,Mango jeunesse,Pourquié,Bernadette
Route 66,Marais Frédéric,Saltimbanque,Marais,Frédéric
Royaume de minuit (le),Ducos Max,Sarbacane,Ducos,Max
Ruban (le),Parlange Adrien,Albin Michel jeunesse,Parlange,Adrien
Ruby tête haute,Cohen-Janca Irène,Ed. des Elephants/Amnesty,Cohen-Janca,Irène
Rue qui ne se traverse pas (la),Meunier Henri,Notari,Meunier,Henri
Rufus,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Sa majesté la maîtresse,Morgenstern Susie,Ecole des Loisirs,Morgenstern,Susie
Sables émouvants,Scotto Thomas,Milan,Scotto,Thomas
Sacrées sorcières,Dahl Roald,Folio junior,Dahl,Roald
Sages Apalants (les),Roger Marie Sabine,Sarbacane,Roger,Marie Sabine
"Sagesses et malices de Nasreddine, le fou qui était sage",Darwiche Jihad,Albin Michel jeunesse,Darwiche,Jihad
Saisons,Blexbolex,Albin Michel jeunesse,Blexbolex,
Saisons d'Issa,Issa,L'iroli,Issa,
Sale gamin,Ben Kemoun Hubert,Thierry Magnier,Ben,Kemoun Hubert
"Sale gosse, ou l'incroyable histoire…",Cole Babette,Seuil jeunesse,Cole,Babette
Salem et le sorcier,Dio Mohamed,Yomad,Dio,Mohamed
Salut,Dorin Perrine,Rouergue,Dorin,Perrine
Sandwich de mammouth (le),Piquemal Michel,Milan jeunesse,Piquemal,Michel
"Sanji, le voleur d'odeurs",Tzannes,Milan,Tzannes,
Sann,Chen Jiang Hong,Ecole des loisirs,Chen,Jiang Hong
Sans début ni fin,Herbauts Anne,Esperluète,Herbauts,Anne
Sans frontières fixes,Siméon Jean Pierre,Cheyne,Siméon,Jean Pierre
Sans le A,Escoffier Michaël,Ecole des Loisirs,Escoffier,Michaël
Sans titre,Tullet Hervé,Bayard jeunesse,Tullet,Hervé
Santa Fruta,Perret Delphine,Les fourmis rouges,Perret,Delphine
Sara et le clown,Mebs Gudrun,Milan,Mebs,Gudrun
Sassou,Sarrazin Jean-Charles,Ecole des loisirs,Sarrazin,Jean-Charles
Saucisse de Cornichou (la),Charlat Benoît,Ecole des Loisirs,Charlat,Benoît
Saumone,Chazerand Emilie,L'élan vert,Chazerand,Emilie
Saute,Matsuoka Tatsuhide,Ecole des loisirs,Matsuoka,Tatsuhide
Sauvage,Hughes Emily,Casterman,Hughes,Emily
Sauve qui poule,Jolibois Christian,Pocket,Jolibois,Christian
"Sauve-toi, Elie",Brami Elisabeth,Seuil jeunesse,Brami,Elisabeth
Scènes de crime,Aubert Brigitte,Thierry Magnier,Aubert,Brigitte
Schmat doudou (le),Bloch Muriel,Syros,Bloch,Muriel
Science en poésie (la),Collectif,Gallimard,Collectif,
Scritch scratch dip clapote,Crowther Kitty,Ecole des Loisirs,Crowther,Kitty
Secret (le),Battut Eric,Didier jeunesse,Battut,Eric
Secret (le),Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Secret de Kasimo (le),Lestrade Agnès de,Milan,Lestrade,Agnès de
Secret du chat (le),Feiffer Jules,Le Genevrier,Feiffer,Jules
Secret du Rocher Noir (le),Todd-Stanton Joe,Ecole des loisirs,Todd-Stanton,Joe
Seize nouvelles,Collectif,Thierry Magnier,Collectif,
Sept chansons pour le hérisson (comptines),Trotereau Anne,Ecole des Loisirs,Trotereau,Anne
Sept histoires de souris,Lobel Arnold,Ecole des Loisirs,Lobel,Arnold
Sequoyah,Marais Frédéric,Thierry Magnier,Marais,Frédéric
Serpent de neige (le),Piquemal Michel,Hatier jeunesse,Piquemal,Michel
Seul ensemble,Clayton Junior,Kimane,Clayton,Junior
Si la lune pouvait parler,Banks Kate,Gallimard,Banks,Kate
Si le loup y était,Jalbert Philippe,Milan,Jalbert,Philippe
Si tous les éléphants s'appelaient Bertrand,Manceau Edouard,Milan jeunesse,Manceau,Edouard
Si un jour,Doray Malika,Ecole des Loisirs,Doray,Malika
Silence complice,Bayar Michèle,Magnard jeunesse,Bayar,Michèle
Silencio,Herbauts Anne,Casterman,Herbauts,Anne
Sin le veilleur,Guibert Françoise de,Seuil jeunesse,Guibert,Françoise de
Sindbad le marin,Koenig Viviane,Belin,Koenig,Viviane
Singe (le),Cali Davide,Rue du monde,Cali,Davide
Singe et le crocodile (le),Zarcate Catherine,Syros,Zarcate,Catherine
Six milliards de visages,Spier Paul,Ecole des Loisirs,Spier,Paul
Sixième (la),Morgenstern Susie,Ecole des Loisirs,Morgenstern,Susie
Slip du cauchemar (le),Aubrun Claudine,Seuil jeunesse,Aubrun,Claudine
Socrate,Rascal,Ecole des loisirs,Rascal,
Soir de rage,Ben Kemoun Hubert,Nathan,Ben,Kemoun Hubert
Soleil oiseleur (le),Monnereau Michel,Le dé bleu,Monnereau,Michel
Sophie la vache musicienne,Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Sorcier du fleuve (le),Kinsa Gabriel,Auto production,Kinsa,Gabriel
Sorcière Camomille à Paris (la),Larreula Enric,Le Sorbier,Larreula,Enric
Sorcière de la rue Mouffetard (la),Gripari Pierre,Folio junior,Gripari,Pierre
Sorcière qui rapetissait les enfants (la),Caylou Véronique,Bayard,Caylou,Véronique
SOS petit peureux,Stein Mathilde,Milan,Stein,Mathilde
Soupe à la souris (la),Lobel Arnold,Ecole des Loisirs,Lobel,Arnold
Soupe au caillou (la),Hindenoch Michel,Mini Syros,Hindenoch,Michel
Soupe au caillou (la),Ross Tony,Mijade,Ross,Tony
Soupe aux cailloux (la),Giraud Robert,Flammarion,Giraud,Robert
Sourate du taureau (la) ?,Musa Hassan,Grandir,Musa,Hassan
Source miraculeuse (la),Larizza Olivier,Oskar jeunesse,Larizza,Olivier
Sourire de la montagne (le),Place François,Gallimard jeunesse,Place,François
Souris et le voleur (la),Darwiche Jihad,Didier jeunesse,Darwiche,Jihad
Souris qui cherchait un mari (la),Vidal Francine,Didier jeunesse,Vidal,Francine
Souris qui cherchait un mari (la),Vidal Francine,Didier jeunesse,Vidal,Francine
Souris qui cherche un ami (la),Carle Eric,Mijade,Carle,Eric
Souris qui sauva toute une montagne (la),Serres Alain,Rue du monde,Serres,Alain
Souris-moi !,Schickel Emilie,L'élan vert,Schickel,Emilie
Sous la lune poussent les haïkus,Japon,Rue du Monde,Japon,
Sous le grand banian,Mourlevat Jean Claude,Rue du Monde,Mourlevat,Jean Claude
Sous le toit de mes doigts,Bobe Françoise,Bayard jeunesse,Bobe,Françoise
Sous un pyjama de lapin,Doray Malika,Ecole des Loisirs,Doray,Malika
Sous-marin de papier (le),Lambersy Werner,MØtus,Lambersy,Werner
Souvenirs de Paris,Paris Cécile,Thierry Magnier,Paris,Cécile
"Ssi j'te mords, t'es mort",Delye Pierre,Didier jeunesse,Delye,Pierre
Stylo à cancre (le),Costes Olivier,Actes sud,Costes,Olivier
Suis-je… un chat ?,Crosbie Duncan,Mila éditions,Crosbie,Duncan
Suis-je… un escargot ?,Crosbie Duncan,Mila éditions,Crosbie,Duncan
Suis-je… une grenouille ?,Crosbie Duncan,Mila éditions,Crosbie,Duncan
Suis-je… une souris ?,Crosbie Duncan,Mila éditions,Crosbie,Duncan
S'unir c'est se mélanger,Cardon Laurent,Père Fouettard,Cardon,Laurent
"S'unir, c'est se relayer !",Cardon Laurent,Père Fouettard,Cardon,Laurent
Super 8,Douzou Olivier,MeMo,Douzou,Olivier
Super beige,Ribeyron Samuel,Le vengeur masqué,Ribeyron,Samuel
Super Cagoule,Louchard Antonin,Seuil jeunesse,Louchard,Antonin
Super loup,Leroy Jean,Frimousse,Leroy,Jean
Super Niño,Escoffier Michaël,Frimousse,Escoffier,Michaël
Super Papa,Hoban Kristy Lillian,Gallimard,Hoban,Kristy Lillian
Super super gloupi,Van de Wendel Edouard,Etre,Van,de Wendel Edouard
Superlapin,Blake Stéphanie,Ecole des loisirs,Blake,Stéphanie
Sur le chantier,Barton Byron,Ecole des loisirs,Barton,Byron
Sur le chemin,Perrin Martine,Milan jeunesse,Perrin,Martine
Sur le lit,Ponti Claude,Ecole des Loisirs,Ponti,Claude
"Sur le nez du chiot, une sauterelle…",Pappa Rodoula,Cambourakis,Pappa,Rodoula
Sur les genoux de maman,Herbert Scott Ann,Ecole des Loisirs,Herbert,Scott Ann
Sur les traces de Maman,Stehr Frédéric,Ecole des Loisirs,Stehr,Frédéric
Sur l'île des Zertes,Ponti Claude,Ecole des Loisirs,Ponti,Claude
Sur mon fil,Vidal Séverine,Milan,Vidal,Séverine
"Sur un toit, un chat",Roumiguière Cécile,A pas de loups,Roumiguière,Cécile
Surprise (la),Roman Nadia,Thierry Magnier,Roman,Nadia
Surprise (la),Coat Janie,MeMo,Coat,Janie
Susie Morgenstern,Chérer Sophie,Ecole des Loisirs,Chérer,Sophie
Suzanne préfère le rouge,Pastoureau Michel,Privat,Pastoureau,Michel
Suzie est la seule,Bernos Clotilde,Lo Païs d'Enfance,Bernos,Clotilde
Sylvain de Sylvanie,Lévy Didier,Sarbacane,Lévy,Didier
Ta Lou qui t'aime,Brami Elisabeth,Seuil jeunesse,Brami,Elisabeth
Tableaux de Marcel (les),Browne Anthony,Ecole des Loisirs,Browne,Anthony
Taches du léopard (les),Kipling/Chaliand Gérard,Ecole des Loisirs,Kipling/Chaliand,Gérard
Takam Tikou,Collectif,La joie par les livres,Collectif,
Tandem,Vidal Séverine,La Joie de lire,Vidal,Séverine
Tangapico,Lévy Didier,Sarbacane,Lévy,Didier
Tani,Godard Alex,Albin Michel jeunesse,Godard,Alex
Tante Amélie,Cobb Rebecca,Nord-Sud,Cobb,Rebecca
Tardieu (le),Tardieu Jean,Mango,Tardieu,Jean
T'as de beaux yeux !,Charlat Benoît,Ecole des Loisirs,Charlat,Benoît
Tas de riz tas de rats,Dedieu Thierry,Seuil jeunesse,Dedieu,Thierry
Taupe (la),Dedieu Thierry,Seuil,Dedieu,Thierry
Taureau bleu (le),Promeyrat Coline,Didier jeunesse,Promeyrat,Coline
Taxi-brousse de Papa Diop (le),Epanya Christian,Syros,Epanya,Christian
Teckel,Douzou Olivier,Rouergue,Douzou,Olivier
Téléfon (le),Ferrer Nino,Didier jeunesse,Ferrer,Nino
Tempête (la),Seyvos Florence,Ecole des loisirs,Seyvos,Florence
Terrible,Serres Alain,Rue du monde,Serres,Alain
Terriblement vert !,Ben Kemoun Hubert,Nathan,Ben,Kemoun Hubert
T'es fleur ou t'es chou ?,Raisson Gwendoline,Rue du Monde,Raisson,Gwendoline
Tête à claques,Corentin Philippe,Ecole des Loisirs,Corentin,Philippe
Tête dans les étoiles (la),Collectif,Fleurus,Collectif,
Tête dans les nuages (la),Maussion Anne,Pourquoi pas,Maussion,Anne
Tête dans les nuages (la),David François,MØtus,David,François
Tétine de Nina (la),Naumann Villemin Christine,Ecole des Loisirs,Naumann,Villemin Christine
Thésée,Pommaux Yvan,Ecole des loisirs,Pommaux,Yvan
Thésée et le fil d'Ariane,Kérillis Hélène,Hatier jeunesse,Kérillis,Hélène
Ti lapin le magicien,Charlat Benoît,Ecole des loisirs,Charlat,Benoît
Ti Poucet,Servant Stéphane,Rue du monde,Servant,Stéphane
Tibert et Romuald,Jonas Anne,Milan,Jonas,Anne
Ti-Cheval,Bourre Martine,Ecole des loisirs,Bourre,Martine
Tico et les ailes d'or,Lionni Leo,Ecole des Loisirs,Lionni,Leo
Tiens !,Badescu Ramona,Les Grandes Personnes,Badescu,Ramona
